Company_name,stock_id
LVMH,MC
SCHNEIDER_ELECTRIC,SU
TOTALENERGIES,TTE
SANOFI,SAN
AIRBUS,AIR
AIR_LIQUIDE,AI
L'OREAL,OR
SAFRAN,SAF
ESSILORLUXOTTICA,EL
HERMES_INTL,RMS
AXA,CS
BNP_PARIBAS,BNP
VINCI,DG
DANONE,BN
SAINT_GOBAIN,SGO
ENGIE,ENGI
STELLANTIS_NV,STLAP
LEGRAND,LR
CAPGEMINI,CAP
PUBLICIS_GROUPE,PUB
MICHELIN,ML
DASSAULT_SYSTEMES,DSY
PERNOD_RICARD,RI
SOCIETE_GENERALE,GLE
VEOLIA_ENVIRON,VIE
ORANGE,ORA
KERING,KER
STMICROELECTRONICS,STMPA
THALES,HO
CREDIT_AGRICOLE,ACA
BUREAU_VERITAS,BVI
ACCOR,AC
RENAULT,RNO
ARCELORMITTAL_SA,MT
UNIBAIL-RODAMCO-WE,URW
EDENRED,EDEN
CARREFOUR,CA
EUROFINS_SCIENT,ERF
BOUYGUES,EN
TELEPERFORMANCE,TEP
