S_melt_curve_solid,P_melt_curve_solid,S_melt_curve_liquid,P_melt_curve_liquid
0.0013645999999999999,1014400.0,0.0014405,1014400.0
0.0013977,742920.0,0.0014713,742920.0
0.001427,556610.0,0.0014985999999999999,556610.0
0.0014531,425010.0,0.001523,425010.0
0.0014766,329790.0,0.001545,329790.0
0.0014977999999999999,259480.0,0.0015647999999999999,259480.0
0.0015169,206640.0,0.0015829000000000001,206640.0
0.0015344,166330.0,0.0015993,166330.0
0.0015503,135150.0,0.0016143,135150.0
0.0015647999999999999,110760.0,0.0016281,110760.0
0.0015780999999999998,91462.0,0.0016407000000000001,91462.0
0.0015903,76054.0,0.0016523,76054.0
0.0016015,63642.0,0.001663,63642.0
0.0016119,53564.0,0.0016728,53564.0
0.0016214,45323.0,0.0016819,45323.0
0.0016302,38537.0,0.0016904,38537.0
0.0016382,32916.0,0.0016982,32916.0
0.0016457,28233.0,0.0017054000000000001,28233.0
0.0016526,24311.0,0.0017120999999999998,24311.0
0.001659,21010.0,0.0017182,21010.0
0.0016649000000000002,18219.0,0.001724,18219.0
0.0016703,15850.0,0.0017293,15850.0
0.0016753,13829.0,0.0017343,13829.0
0.0016799,12100.0,0.0017389,12100.0
0.0016842,10616.0,0.0017430999999999998,10616.0
0.0016880999999999999,9336.4,0.0017471,9336.4
0.0016918,8230.6,0.0017508,8230.6
0.0016951,7271.9,0.0017542,7271.9
0.0016982,6438.5,0.0017574,6438.5
0.001701,5711.9,0.0017603,5711.9
0.0017035,5077.0,0.001763,5077.0
0.0017059,4520.7,0.0017655,4520.7
0.001708,4032.3,0.0017679,4032.3
0.00171,3602.5,0.00177,3602.5
0.0017117,3223.6,0.001772,3223.6
0.0017132999999999998,2888.8,0.0017737999999999999,2888.8
0.0017147,2592.4,0.0017755,2592.4
0.0017159,2329.6,0.0017771,2329.6
0.001717,2096.1,0.0017785,2096.1
0.0017179,1888.4,0.0017797,1888.4
0.0017187,1703.3,0.0017809000000000002,1703.3
0.0017193,1538.1,0.0017819,1538.1
0.0017198,1390.4,0.0017829,1390.4
0.0017202,1258.2,0.0017837,1258.2
0.0017205,1139.7,0.0017844,1139.7
0.0017207000000000001,1033.4,0.001785,1033.4
0.0017207000000000001,937.87,0.0017855999999999998,937.87
0.0017205999999999999,851.93,0.001786,851.93
0.0017204000000000002,774.53,0.0017864,774.53
0.0017201,704.74,0.0017866,704.74
0.0017197,641.75,0.0017867999999999998,641.75
0.0017192,584.83,0.0017869000000000001,584.83
0.0017185999999999998,533.35,0.0017869000000000001,533.35
0.0017179,486.75,0.0017869000000000001,486.75
0.001717,444.51,0.0017867,444.51
0.0017161,406.2,0.0017865,406.2
0.0017151,371.41,0.0017863,371.41
0.001714,339.81,0.0017859,339.81
0.0017128,311.06,0.0017855,311.06
0.0017114,284.89,0.001785,284.89
0.00171,261.06,0.0017845,261.06
0.0017085,239.32,0.0017839000000000002,239.32
0.0017069000000000001,219.49,0.0017832,219.49
0.0017052,201.37,0.0017825,201.37
0.0017034,184.82,0.0017817,184.82
0.0017014,169.67,0.0017808,169.67
0.0016994,155.81,0.0017799,155.81
0.0016973,143.11,0.001779,143.11
0.0016951,131.46,0.0017779,131.46
0.0016928,120.77,0.0017769,120.77
0.0016904,110.95,0.0017757,110.95
0.0016878,101.93,0.0017745,101.93
0.0016852,93.628,0.0017733,93.628
0.0016824000000000001,85.984,0.001772,85.984
0.0016795999999999998,78.94,0.0017707,78.94
0.0016765999999999999,72.442,0.0017693,72.442
0.0016735,66.443,0.0017679,66.443
0.0016704,60.899,0.0017664,60.899
0.0016671,55.77,0.0017649,55.77
0.0016635999999999999,51.022,0.0017633,51.022
0.0016600999999999999,46.62,0.0017617,46.62
0.0016565,42.536,0.0017601,42.536
0.0016527,38.742,0.0017584,38.742
0.0016488,35.213,0.0017565999999999999,35.213
0.0016447999999999999,31.928,0.0017549,31.928
0.0016407000000000001,28.866,0.0017530999999999998,28.866
0.0016364,26.008,0.0017512,26.008
0.0016320999999999998,23.337,0.0017494000000000001,23.337
0.0016275999999999999,20.837,0.0017474,20.837
0.001623,18.494,0.0017454,18.494
0.0016183,16.288,0.0017433,16.288
0.0016136,14.207,0.0017411,14.207
0.0016087,12.243,0.0017388,12.243
0.0016036,10.389,0.0017365,10.389
0.0015985,8.639,0.0017341,8.639
0.0015930999999999999,6.9862,0.0017317,6.9862
0.0015876,5.4254,0.0017291,5.4254
0.0015819,3.9511,0.0017265,3.9511
0.001576,2.5586,0.0017237,2.5586
0.0015699000000000002,1.243,0.0017209,1.243
0.0015637000000000001,2.1896e-12,0.001718,2.1912e-12
0.0015275999999999998,-5.4701,0.0017018,-5.4701
0.0014776,-10.139,0.0016809000000000001,-10.139
0.0014045,-14.001,0.0016579000000000001,-14.001
