1000000	50	25	2	500	1.400000
0.000000	-1.500000	2.000000	1.000000	0.010000	0.000000	1000000000000000019884624838656.000000
0.000000	-1.500000	2.000000	1.000000	0.010000	0.000000	1000000000000000019884624838656.000000
0.348941	-2.000000	3.000000	1.000000	0.000000	0.000000	1000000000000000019884624838656.000000
0.100000	0.000000	1.000000	1.000000	0.010000	0.000000	1000000000000000019884624838656.000000
0.000000	0.000000	1.000000	1.000000	0.001000	0.000000	1000000000000000019884624838656.000000
0.000000	-3.141593	3.141593	2.000000	0.001000	0.000000	1000000000000000019884624838656.000000
0.000000	0.000000	6.283185	1.000000	0.001000	0.000000	1000000000000000019884624838656.000000
0.000000	-5.000000	5.000000	1.000000	0.100000	0.000000	1.000000
0.000000	-5.000000	5.000000	1.000000	0.100000	0.000000	1.000000
0.100000	0.000000	0.400000	1.000000	0.010000	0.160000	0.040000
0.200000	0.150000	0.550000	1.000000	0.010000	0.340000	0.040000
0.100000	0.000000	0.400000	1.000000	0.010000	0.160000	0.040000
0.200000	0.150000	0.550000	1.000000	0.010000	0.340000	0.040000
0.000000	0.000000	2.000000	1.000000	0.010000	1.000000	0.200000
0.000000	0.000000	2.000000	1.000000	0.010000	1.000000	0.200000
0.000000	-0.300000	0.300000	1.000000	0.010000	0.000000	0.100000
0.000000	-0.300000	0.300000	1.000000	0.010000	0.000000	0.100000
0.000000	-5.000000	5.000000	1.000000	0.100000	0.000000	1.000000
0.000000	-5.000000	5.000000	1.000000	0.100000	0.000000	1.000000
0.000000	0.000000	1.000000	1.000000	0.001000	0.000000	1000000000000000019884624838656.000000
1.000000	0.990000	1.010000	1.000000	0.000010	0.000000	1000000000000000019884624838656.000000
0.000000	-0.110000	0.110000	1.000000	0.000100	0.000000	0.027522
0.000000	0.000000	1.000000	1.000000	0.001000	0.000000	1000000000000000019884624838656.000000
1.000000	0.990000	1.010000	1.000000	0.000010	0.000000	1000000000000000019884624838656.000000
0.000000	-0.110000	0.110000	1.000000	0.000100	0.000000	0.027522
143	264
0.007442	0.998561	0.000366
0.019081	1.000076	0.000241
0.030794	1.000155	0.000612
0.041597	0.999346	0.000202
0.054129	1.000268	0.001075
0.064926	0.999857	0.000515
0.077439	1.000388	0.000338
0.109985	1.000720	0.000073
0.152427	1.001203	0.000189
0.173267	1.001648	0.000933
0.185746	1.002363	0.001052
0.195802	1.001443	0.000946
0.206579	1.002601	0.001030
0.216634	1.001782	0.000755
0.229094	1.003320	0.000196
0.239952	1.003465	0.001379
0.250790	1.002621	0.000123
0.262457	1.003038	0.001087
0.273254	1.004309	0.000529
0.284115	1.003918	0.000749
0.295775	1.003929	0.000276
0.309927	1.004766	0.000988
0.325804	1.003977	0.000522
0.339940	1.004694	0.001124
0.354091	1.005996	0.000717
0.365784	1.005635	0.000140
0.377420	1.006145	0.001266
0.393249	1.006544	0.001157
0.409121	1.006399	0.000675
0.423262	1.005193	0.000513
0.433275	1.007115	0.000407
0.444095	1.006122	0.000544
0.454108	1.007024	0.001241
0.502426	1.007594	0.000548
0.524950	1.007058	0.000527
0.539939	1.007384	0.000291
0.555768	1.004717	0.003429
0.567431	0.987279	0.012537
0.579106	0.954242	0.008046
0.590762	0.933697	0.002255
0.602406	0.943109	0.006650
0.614113	0.973913	0.011413
0.624920	0.972915	0.024890
0.637447	1.005617	0.000186
0.648248	1.004526	0.001167
0.660761	1.003682	0.000216
0.671595	1.003954	0.001619
0.684919	1.003736	0.002082
0.697444	1.004698	0.000702
0.709114	1.004357	0.000439
0.723260	1.003375	0.001715
0.738301	1.003736	0.001001
0.782425	1.001553	0.001970
0.803277	1.001830	0.000306
0.819124	1.002142	0.000183
0.833286	1.000383	0.000010
0.874100	0.999147	0.000014
0.891599	0.999060	0.000641
0.904099	0.999181	0.001222
0.919077	0.997956	0.000292
0.933265	0.997948	0.000885
0.947420	0.997956	0.000154
0.960743	0.997843	0.000838
0.974930	0.996862	0.000773
0.987430	0.997662	0.000438
1.003245	0.996181	0.000187
1.019066	0.996821	0.000344
1.033233	0.996340	0.000722
1.066567	0.995911	0.000286
1.094898	0.996023	0.000041
1.109056	0.995888	0.000128
1.127407	0.997248	0.000772
1.141593	0.996106	0.000434
1.152384	0.996168	0.000813
1.164897	0.997048	0.001034
1.177404	0.996714	0.000398
1.190728	0.997395	0.000371
1.204092	0.996287	0.000969
1.214883	0.996633	0.000854
1.267395	0.997035	0.000170
1.320765	0.997320	0.000075
1.341575	0.997683	0.000084
1.354073	0.998284	0.000685
1.368251	0.997237	0.000861
1.379049	0.998212	0.000856
1.391588	0.997151	0.000406
1.405732	0.999207	0.000012
1.422409	0.998839	0.000001
1.449909	0.998927	0.000644
1.499918	0.999275	0.000477
1.517388	0.999979	0.001370
1.529894	1.000385	0.001634
1.541569	1.001452	0.000685
1.559899	1.001255	0.000480
1.576544	1.001388	0.000103
1.594099	1.000278	0.000322
1.606528	1.001589	0.000685
1.618246	1.001154	0.000443
1.629045	1.002445	0.000524
1.641582	1.001516	0.000095
1.652375	1.002602	0.000696
1.664888	1.001858	0.001614
1.675725	0.998648	0.003268
1.687400	0.985471	0.004755
1.699058	0.966286	0.004403
1.710694	0.959558	0.000079
1.722410	0.969028	0.005734
1.733210	0.986371	0.005390
1.745746	0.999752	0.001598
1.756540	1.001983	0.000416
1.769053	1.001784	0.000057
1.779889	1.001331	0.000286
1.791565	1.001537	0.000652
1.803222	1.001422	0.000157
1.814859	1.000065	0.000305
1.826574	1.000990	0.001171
1.840773	1.000121	0.000585
1.856525	1.000727	0.000422
1.886593	1.001433	0.000323
1.933242	1.000014	0.000049
1.944037	1.000284	0.000176
1.956577	0.999103	0.000070
1.969885	0.998871	0.000065
1.982382	0.998772	0.000288
1.995740	0.998933	0.000277
2.009052	0.999342	0.000424
2.021550	0.999846	0.000335
2.034903	0.999301	0.000164
2.045705	0.999222	0.000904
2.058239	0.999386	0.000502
2.069035	0.997875	0.001541
2.081547	1.000733	0.002616
2.092383	0.998841	0.000003
2.104058	0.997784	0.001256
2.115716	0.998228	0.000240
2.127354	0.998660	0.000661
2.139067	0.999174	0.000904
2.149870	1.000063	0.000332
2.162403	0.998999	0.000320
2.173199	0.997649	0.000223
2.185712	0.997411	0.001383
2.196548	0.999145	0.000094
2.208223	0.999046	0.000116
0.004190	0.996820	0.001408
0.010353	0.998615	0.000519
0.018019	0.997866	0.000166
0.027211	0.997757	0.000168
0.032424	0.997378	0.002159
0.038264	0.998289	0.000759
0.046182	0.998968	0.000705
0.051868	0.997776	0.001091
0.056943	0.998694	0.001107
