arity,repeat,distance,lb,ub
2,6,3,8,8
2,6,4,4,4
2,6,5,2,2
2,7,3,16,16
2,7,4,8,8
2,7,5,2,2
2,7,6,2,2
2,8,3,20,20
2,8,4,16,16
2,8,5,4,4
2,8,6,2,2
2,8,7,2,2
2,9,3,40,40
2,9,4,20,20
2,9,5,6,6
2,9,6,4,4
2,9,7,2,2
2,9,8,2,2
2,10,3,72,72
2,10,4,40,40
2,10,5,12,12
2,10,6,6,6
2,10,7,2,2
2,10,8,2,2
2,10,9,2,2
2,11,3,144,144
2,11,4,72,72
2,11,5,24,24
2,11,6,12,12
2,11,7,4,4
2,11,8,2,2
2,11,9,2,2
2,11,10,2,2
2,12,3,256,256
2,12,4,144,144
2,12,5,32,32
2,12,6,24,24
2,12,7,4,4
2,12,8,4,4
2,12,9,2,2
2,12,10,2,2
2,12,11,2,2
2,13,3,512,512
2,13,4,256,256
2,13,5,64,64
2,13,6,32,32
2,13,7,8,8
2,13,8,4,4
2,13,9,2,2
2,13,10,2,2
2,13,11,2,2
2,13,12,2,2
2,14,3,1024,1024
2,14,4,512,512
2,14,5,128,128
2,14,6,64,64
2,14,7,16,16
2,14,8,8,8
2,14,9,4,4
2,14,10,2,2
2,14,11,2,2
2,14,12,2,2
2,14,13,2,2
2,15,3,2048,2048
2,15,4,1024,1024
2,15,5,256,256
2,15,6,128,128
2,15,7,32,32
2,15,8,16,16
2,15,9,4,4
2,15,10,4,4
2,15,11,2,2
2,15,12,2,2
2,15,13,2,2
2,15,14,2,2
2,16,3,2816,3276
2,16,4,2048,2048
2,16,5,258,340
2,16,6,256,256
2,16,7,36,36
2,16,8,32,32
2,16,9,6,6
2,16,10,4,4
2,16,11,2,2
2,16,12,2,2
2,16,13,2,2
2,16,14,2,2
2,16,15,2,2
2,17,3,5632,6552
2,17,4,2816,3276
2,17,5,512,673
2,17,6,258,340
2,17,7,64,64
2,17,8,36,36
2,17,9,10,10
2,17,10,6,6
2,17,11,4,4
2,17,12,2,2
2,17,13,2,2
2,17,14,2,2
2,17,15,2,2
2,17,16,2,2
2,18,3,10496,13104
2,18,4,5632,6552
2,18,5,1024,1237
2,18,6,512,673
2,18,7,128,128
2,18,8,64,64
2,18,9,20,20
2,18,10,10,10
2,18,11,4,4
2,18,12,4,4
2,18,13,2,2
2,18,14,2,2
2,18,15,2,2
2,18,16,2,2
2,19,3,20480,26168
2,19,4,10496,13104
2,19,5,2048,2279
2,19,6,1024,1237
2,19,7,256,256
2,19,8,128,128
2,19,9,40,40
2,19,10,20,20
2,19,11,6,6
2,19,12,4,4
2,19,13,2,2
2,19,14,2,2
2,19,15,2,2
2,19,16,2,2
2,20,3,40960,43688
2,20,4,20480,26168
2,20,5,2560,4096
2,20,6,2048,2279
2,20,7,512,512
2,20,8,256,256
2,20,9,42,47
2,20,10,40,40
2,20,11,8,8
2,20,12,6,6
2,20,13,4,4
2,20,14,2,2
2,20,15,2,2
2,20,16,2,2
2,21,3,81920,87333
2,21,4,40960,43688
2,21,5,4096,6941
2,21,6,2560,4096
2,21,7,1024,1024
2,21,8,512,512
2,21,9,64,84
2,21,10,42,47
2,21,11,12,12
2,21,12,8,8
2,21,13,4,4
2,21,14,4,4
2,21,15,2,2
2,21,16,2,2
2,22,3,163840,172361
2,22,4,81920,87333
2,22,5,8192,13674
2,22,6,4096,6941
2,22,7,2048,2048
2,22,8,1024,1024
2,22,9,80,150
2,22,10,64,84
2,22,11,24,24
2,22,12,12,12
2,22,13,4,4
2,22,14,4,4
2,22,15,2,2
2,22,16,2,2
2,23,3,327680,344308
2,23,4,163840,172361
2,23,5,16384,24106
2,23,6,8192,13674
2,23,7,4096,4096
2,23,8,2048,2048
2,23,9,136,268
2,23,10,80,150
2,23,11,48,48
2,23,12,24,24
2,23,13,6,6
2,23,14,4,4
2,23,15,4,4
2,23,16,2,2
2,24,3,524288,599184
2,24,4,327680,344308
2,24,5,17920,47538
2,24,6,16384,24106
2,24,7,4096,5421
2,24,8,4096,4096
2,24,9,192,466
2,24,10,136,268
2,24,11,52,55
2,24,12,48,48
2,24,13,8,8
2,24,14,6,6
2,24,15,4,4
2,24,16,4,4
2,25,3,1048576,1198368
2,25,4,524288,599184
2,25,5,32768,84260
2,25,6,17920,47538
2,25,7,4104,9275
2,25,8,4096,5421
2,25,9,384,836
2,25,10,192,466
2,25,11,64,96
2,25,12,52,55
2,25,13,14,14
2,25,14,8,8
2,25,15,4,4
2,25,16,4,4
2,26,3,2097152,2396736
2,26,4,1048576,1198368
2,26,5,65536,157285
2,26,6,32768,84260
2,26,7,8192,17099
2,26,8,4104,9275
2,26,9,512,1585
2,26,10,384,836
2,26,11,128,169
2,26,12,64,96
2,26,13,28,28
2,26,14,14,14
2,26,15,6,6
2,26,16,4,4
2,27,3,4194304,4792950
2,27,4,2097152,2396736
2,27,5,131072,291269
2,27,6,65536,157285
2,27,7,16384,32151
2,27,8,8192,17099
2,27,9,1024,2817
2,27,10,512,1585
2,27,11,178,288
2,27,12,128,169
2,27,13,56,56
2,27,14,28,28
2,27,15,8,8
2,27,16,6,6
2,28,4,4194304,4792950
2,28,6,131072,291269
2,28,8,16384,32151
2,28,10,1024,2817
2,28,12,178,288
2,28,14,56,56
2,28,16,8,8
3,4,3,9,9
3,5,3,18,18
3,5,4,6,6
3,6,3,38,38
3,6,4,18,18
3,6,5,4,4
3,7,3,111,99
3,7,4,33,33
3,7,5,10,10
3,7,6,3,3
3,8,3,333,252
3,8,4,99,99
3,8,5,27,27
3,8,6,9,9
3,8,7,3,3
3,9,3,937,729
3,9,4,297,243
3,9,5,81,81
3,9,6,27,27
3,9,7,6,6
3,9,8,3,3
3,10,3,2808,2187
3,10,4,891,729
3,10,5,243,243
3,10,6,81,81
3,10,7,14,14
3,10,8,6,6
3,10,9,3,3
3,11,3,7029,6561
3,11,4,2561,1458
3,11,5,729,729
3,11,6,243,243
3,11,7,36,36
3,11,8,12,12
3,11,9,4,4
3,11,10,3,3
3,12,3,19683,19683
3,12,4,6839,4374
3,12,5,1557,729
3,12,6,729,729
3,12,7,108,60
3,12,8,36,36
3,12,9,9,9
3,12,10,4,4
3,12,11,3,3
3,13,3,59049,59049
3,13,4,19270,13122
3,13,5,4078,2187
3,13,6,1449,729
3,13,7,324,162
3,13,8,95,54
3,13,9,27,27
3,13,10,6,6
3,13,11,3,3
3,13,12,3,3
3,14,3,153527,118098
3,14,4,54774,27702
3,14,5,10624,6561
3,14,6,3660,2187
3,14,7,805,243
3,14,8,237,108
3,14,9,62,36
3,14,10,13,13
3,14,11,6,6
3,14,12,3,3
3,14,13,3,3
3,15,3,434815,354294
3,15,4,149585,83106
3,15,5,29213,7812
3,15,6,9904,3321
3,15,7,2204,729
3,15,8,685,243
3,15,9,165,81
3,15,10,39,24
3,15,11,10,10
3,15,12,6,6
3,15,13,3,3
3,15,14,3,3
3,16,3,1240029,1062882
3,16,4,424001,216513
3,16,5,77217,19683
3,16,6,27356,6561
3,16,7,6235,1026
3,16,8,1923,387
3,16,9,451,243
3,16,10,114,54
3,16,11,29,18
3,16,12,9,9
3,16,13,4,4
3,16,14,3,3
3,16,15,3,3
4,4,3,16,16
4,5,3,64,64
4,5,4,16,16
4,6,3,176,164
4,6,4,64,64
4,6,5,9,9
4,7,3,596,512
4,7,4,155,128
4,7,5,32,32
4,7,6,8,8
4,8,3,2340,2048
4,8,4,611,352
4,8,5,128,76
4,8,6,32,32
4,8,7,5,5
4,9,3,9344,8192
4,9,4,2314,1152
4,9,5,512,256
4,9,6,120,76
4,9,7,20,18
4,9,8,5,5
4,10,3,30427,24576
4,10,4,8951,4192
4,10,5,2045,1024
4,10,6,480,256
4,10,7,80,48
4,10,8,16,16
4,10,9,5,5
4,11,3,109226,77056
4,11,4,30427,16384
4,11,5,6241,4096
4,11,6,1780,1024
4,11,7,320,128
4,11,8,60,48
4,11,9,12,12
4,11,10,4,4
4,12,3,419430,262144
4,12,4,109226,65536
4,12,5,20852,8192
4,12,6,5864,4096
4,12,7,1167,256
4,12,8,240,128
4,12,9,48,48
4,12,10,9,9
4,12,11,4,4
5,4,3,25,25
5,5,3,125,125
5,5,4,25,25
5,6,3,625,625
5,6,4,125,125
5,6,5,25,25
5,7,3,2291,1597
5,7,4,489,250
5,7,5,87,53
5,7,6,15,15
5,8,3,9672,7985
5,8,4,2291,1225
5,8,5,435,165
5,8,6,65,50
5,8,7,10,10
5,9,3,44642,31040
5,9,4,9672,4375
5,9,5,2152,725
5,9,6,325,135
5,9,7,50,50
5,9,8,10,10
5,10,3,217013,125000
5,10,4,44642,17500
5,10,5,9559,3125
5,10,6,1625,625
5,10,7,250,125
5,10,8,50,50
5,10,9,7,7
5,11,3,1085053,468750
5,11,4,217013,78125
5,11,5,44379,15625
5,11,6,8125,3125
5,11,7,1250,625
5,11,8,250,125
5,11,9,35,25
5,11,10,6,6
