distance,repeat2,repeat3,lb,ub
5,9,1,12,12
5,9,2,26,31
5,9,3,64,85
5,9,4,136,216
5,9,5,318,534
5,10,1,24,24
5,10,2,48,61
5,10,3,128,158
5,10,4,234,390
5,11,1,38,43
5,11,2,96,115
5,11,3,192,292
5,12,1,64,83
5,12,2,192,213
5,13,1,128,156
6,1,1,1,1
6,1,2,1,1
6,1,3,1,1
6,1,4,1,1
6,1,5,2,2
6,1,6,3,3
6,1,7,6,6
6,1,8,18,18
6,1,9,54,54
6,1,10,162,162
6,1,11,486,486
6,1,12,729,1073
6,1,13,1458,2657
6,2,1,1,1
6,2,2,1,1
6,2,3,1,1
6,2,4,2,2
6,2,5,3,3
6,2,6,6,6
6,2,7,12,12
6,2,8,36,36
6,2,9,108,108
6,2,10,324,324
6,2,11,729,803
6,2,12,972,1935
6,3,1,1,1
6,3,2,1,1
6,3,3,2,2
6,3,4,3,3
6,3,5,4,4
6,3,6,12,12
6,3,7,24,24
6,3,8,72,72
6,3,9,216,216
6,3,10,486,574
6,3,11,729,1414
6,4,1,1,1
6,4,2,2,2
6,4,3,2,2
6,4,4,4,4
6,4,5,8,8
6,4,6,18,18
6,4,7,48,48
6,4,8,144,144
6,4,9,324,425
6,4,10,729,1036
6,5,1,2,2
6,5,2,2,2
6,5,3,3,3
6,5,4,6,6
6,5,5,12,12
6,5,6,33,36
6,5,7,96,96
6,5,8,216,276
6,5,9,486,744
6,6,1,2,2
6,6,2,3,3
6,6,3,6,6
6,6,4,12,12
6,6,5,24,24
6,6,6,66,72
6,6,7,144,192
6,6,8,324,527
6,7,1,2,2
6,7,2,4,4
6,7,3,8,8
6,7,4,18,22
6,7,5,44,48
6,7,6,99,142
6,7,7,216,375
6,8,1,4,4
6,8,2,7,7
6,8,3,16,16
6,8,4,32,39
6,8,5,66,96
6,8,6,168,273
6,9,1,6,6
6,9,2,12,12
6,9,3,26,30
6,9,4,56,75
6,9,5,112,192
6,10,1,12,12
6,10,2,24,24
6,10,3,44,56
6,10,4,88,144
6,11,1,24,24
6,11,2,38,43
6,11,3,88,107
6,12,1,32,32
6,12,2,64,83
6,13,1,64,64
7,1,1,1,1
7,1,2,1,1
7,1,3,1,1
7,1,4,1,1
7,1,5,1,1
7,1,6,2,2
7,1,7,3,3
7,1,8,6,6
7,1,9,12,12
7,1,10,24,28
7,1,11,48,72
7,1,12,108,216
7,1,13,243,591
7,2,1,1,1
7,2,2,1,1
7,2,3,1,1
7,2,4,1,1
7,2,5,2,2
7,2,6,3,3
7,2,7,4,4
7,2,8,9,9
7,2,9,18,24
7,2,10,36,56
7,2,11,75,144
7,2,12,162,432
7,3,1,1,1
7,3,2,1,1
7,3,3,1,1
7,3,4,2,2
7,3,5,3,3
7,3,6,4,4
7,3,7,7,7
7,3,8,16,18
7,3,9,28,48
7,3,10,57,112
7,3,11,108,288
7,4,1,1,1
7,4,2,1,1
7,4,3,2,2
7,4,4,2,2
7,4,5,3,3
7,4,6,6,6
7,4,7,14,14
7,4,8,24,36
7,4,9,48,96
7,4,10,84,224
7,5,1,1,1
7,5,2,2,2
7,5,3,2,2
7,5,4,3,3
7,5,5,6,6
7,5,6,12,12
7,5,7,21,28
7,5,8,36,72
7,5,9,69,174
7,6,1,2,2
7,6,2,2,2
7,6,3,3,3
7,6,4,4,4
7,6,5,9,9
7,6,6,18,23
7,6,7,33,53
7,6,8,61,130
7,7,1,2,2
7,7,2,2,2
7,7,3,4,4
7,7,4,8,8
7,7,5,16,16
7,7,6,24,41
7,7,7,58,99
7,8,1,2,2
7,8,2,4,4
7,8,3,6,6
7,8,4,16,16
7,8,5,22,31
7,8,6,44,74
7,9,1,3,3
7,9,2,4,4
7,9,3,12,12
7,9,4,18,23
7,9,5,36,53
7,10,1,4,4
7,10,2,8,8
7,10,3,16,18
7,10,4,28,41
7,11,1,6,6
7,11,2,12,12
7,11,3,24,31
7,12,1,12,12
7,12,2,20,24
7,13,1,16,19
8,1,1,1,1
8,1,2,1,1
8,1,3,1,1
8,1,4,1,1
8,1,5,1,1
8,1,6,1,1
8,1,7,2,2
8,1,8,3,3
8,1,9,4,4
8,1,10,9,9
8,1,11,24,24
8,1,12,39,67
8,1,13,81,179
8,2,1,1,1
8,2,2,1,1
8,2,3,1,1
8,2,4,1,1
8,2,5,1,1
8,2,6,2,2
8,2,7,3,3
8,2,8,4,4
8,2,9,7,7
8,2,10,18,18
8,2,11,36,48
8,2,12,75,134
8,3,1,1,1
8,3,2,1,1
8,3,3,1,1
8,3,4,1,1
8,3,5,2,2
8,3,6,3,3
8,3,7,3,3
8,3,8,6,6
8,3,9,13,13
8,3,10,24,36
8,3,11,54,96
8,4,1,1,1
8,4,2,1,1
8,4,3,1,1
8,4,4,2,2
8,4,5,2,2
8,4,6,3,3
8,4,7,6,6
8,4,8,12,12
8,4,9,24,26
8,4,10,42,72
8,5,1,1,1
8,5,2,1,1
8,5,3,2,2
8,5,4,2,2
8,5,5,3,3
8,5,6,4,4
8,5,7,8,8
8,5,8,18,24
8,5,9,30,52
8,6,1,1,1
8,6,2,2,2
8,6,3,2,2
8,6,4,3,3
8,6,5,4,4
8,6,6,7,7
8,6,7,14,16
8,6,8,28,44
8,7,1,2,2
8,7,2,2,2
8,7,3,2,2
8,7,4,4,4
8,7,5,6,6
8,7,6,12,12
8,7,7,23,32
8,8,1,2,2
8,8,2,2,2
8,8,3,3,3
8,8,4,6,6
8,8,5,12,12
8,8,6,20,24
8,9,1,2,2
8,9,2,3,3
8,9,3,4,4
8,9,4,9,9
8,9,5,18,18
8,10,1,2,2
8,10,2,4,4
8,10,3,6,6
8,10,4,16,16
8,11,1,4,4
8,11,2,6,6
8,11,3,12,12
8,12,1,4,4
8,12,2,12,12
8,13,1,8,8
9,1,1,1,1
9,1,2,1,1
9,1,3,1,1
9,1,4,1,1
9,1,5,1,1
9,1,6,1,1
9,1,7,1,1
9,1,8,2,2
9,1,9,3,3
9,1,10,4,4
9,1,11,6,6
9,1,12,18,18
9,1,13,30,50
9,2,1,1,1
9,2,2,1,1
9,2,3,1,1
9,2,4,1,1
9,2,5,1,1
9,2,6,1,1
9,2,7,2,2
9,2,8,3,3
9,2,9,3,3
9,2,10,6,6
9,2,11,12,12
9,2,12,27,36
9,3,1,1,1
9,3,2,1,1
9,3,3,1,1
9,3,4,1,1
9,3,5,1,1
9,3,6,2,2
9,3,7,3,3
9,3,8,3,3
9,3,9,6,6
9,3,10,10,10
9,3,11,20,24
9,4,1,1,1
9,4,2,1,1
9,4,3,1,1
9,4,4,1,1
9,4,5,2,2
9,4,6,2,2
9,4,7,3,3
9,4,8,4,4
9,4,9,8,8
9,4,10,18,20
9,5,1,1,1
9,5,2,1,1
9,5,3,1,1
9,5,4,2,2
9,5,5,2,2
9,5,6,3,3
9,5,7,4,4
9,5,8,6,6
9,5,9,14,16
9,6,1,1,1
9,6,2,1,1
9,6,3,2,2
9,6,4,2,2
9,6,5,3,3
9,6,6,4,4
9,6,7,6,6
9,6,8,12,12
9,7,1,1,1
9,7,2,2,2
9,7,3,2,2
9,7,4,2,2
9,7,5,3,3
9,7,6,6,6
9,7,7,10,10
9,8,1,2,2
9,8,2,2,2
9,8,3,2,2
9,8,4,3,3
9,8,5,4,4
9,8,6,8,8
9,9,1,2,2
9,9,2,2,2
9,9,3,3,3
9,9,4,4,4
9,9,5,6,6
9,10,1,2,2
9,10,2,2,2
9,10,3,4,4
9,10,4,6,6
9,11,1,2,2
9,11,2,4,4
9,11,3,6,6
9,12,1,3,3
9,12,2,4,4
9,13,1,4,4
10,1,1,1,1
10,1,2,1,1
10,1,3,1,1
10,1,4,1,1
10,1,5,1,1
10,1,6,1,1
10,1,7,1,1
10,1,8,1,1
10,1,9,2,2
10,1,10,3,3
10,1,11,3,3
10,1,12,6,6
10,1,13,10,12
10,2,1,1,1
10,2,2,1,1
10,2,3,1,1
10,2,4,1,1
10,2,5,1,1
10,2,6,1,1
10,2,7,1,1
10,2,8,2,2
10,2,9,3,3
10,2,10,3,3
10,2,11,6,6
10,2,12,9,9
10,3,1,1,1
10,3,2,1,1
10,3,3,1,1
10,3,4,1,1
10,3,5,1,1
10,3,6,1,1
10,3,7,2,2
10,3,8,3,3
10,3,9,3,3
10,3,10,4,4
10,3,11,7,7
10,4,1,1,1
10,4,2,1,1
10,4,3,1,1
10,4,4,1,1
10,4,5,1,1
10,4,6,2,2
10,4,7,2,2
10,4,8,3,3
10,4,9,4,4
10,4,10,6,6
10,5,1,1,1
10,5,2,1,1
10,5,3,1,1
10,5,4,1,1
10,5,5,2,2
10,5,6,2,2
10,5,7,3,3
10,5,8,4,4
10,5,9,6,6
10,6,1,1,1
10,6,2,1,1
10,6,3,1,1
10,6,4,2,2
10,6,5,2,2
10,6,6,3,3
10,6,7,3,3
10,6,8,6,6
10,7,1,1,1
10,7,2,1,1
10,7,3,2,2
10,7,4,2,2
10,7,5,2,2
10,7,6,3,3
10,7,7,4,4
10,8,1,1,1
10,8,2,2,2
10,8,3,2,2
10,8,4,2,2
10,8,5,3,3
10,8,6,4,4
10,9,1,2,2
10,9,2,2,2
10,9,3,2,2
10,9,4,3,3
10,9,5,4,4
10,10,1,2,2
10,10,2,2,2
10,10,3,2,2
10,10,4,4,4
10,11,1,2,2
10,11,2,2,2
10,11,3,3,3
10,12,1,2,2
10,12,2,3,3
10,13,1,2,2
