distance,repeat2,repeat3,lb,ub
3,1,1,1,1
3,1,2,2,2
3,1,3,6,6
3,1,4,12,12
3,1,5,33,33
3,1,6,71,74
3,1,7,198,222
3,1,8,486,666
3,1,9,1458,1874
3,1,10,4374,4920
3,1,11,13122,14058
3,1,12,39366,39366
3,1,13,78732,106288
3,2,1,2,2
3,2,2,4,4
3,2,3,9,9
3,2,4,22,22
3,2,5,52,54
3,2,6,134,148
3,2,7,396,444
3,2,8,972,1284
3,2,9,2916,3514
3,2,10,8748,9840
3,2,11,26244,26790
3,2,12,59049,75920
3,3,1,3,3
3,3,2,6,6
3,3,3,18,18
3,3,4,42,42
3,3,5,100,108
3,3,6,266,296
3,3,7,711,888
3,3,8,1944,2464
3,3,9,5832,6846
3,3,10,17496,18589
3,3,11,40095,52488
3,4,1,6,6
3,4,2,12,12
3,4,3,28,28
3,4,4,72,72
3,4,5,186,216
3,4,6,504,592
3,4,7,1422,1749
3,4,8,3888,4764
3,4,9,11664,12887
3,4,10,34992,36337
3,5,1,8,8
3,5,2,22,22
3,5,3,54,54
3,5,4,144,144
3,5,5,348,432
3,5,6,1008,1184
3,5,7,2592,3259
3,5,8,7776,9128
3,5,9,23328,25194
3,6,1,16,16
3,6,2,38,38
3,6,3,108,108
3,6,4,288,288
3,6,5,672,855
3,6,6,1896,2332
3,6,7,5184,6362
3,6,8,15552,17485
3,7,1,26,26
3,7,2,72,72
3,7,3,192,216
3,7,4,576,576
3,7,5,1296,1612
3,7,6,3792,4443
3,7,7,10368,12171
3,8,1,50,50
3,8,2,144,144
3,8,3,384,414
3,8,4,1152,1152
3,8,5,2560,3087
3,8,6,6912,8331
3,9,1,96,100
3,9,2,288,288
3,9,3,768,796
3,9,4,1728,2130
3,9,5,4608,5924
3,10,1,192,200
3,10,2,512,552
3,10,3,1152,1492
3,10,4,3280,4081
3,11,1,384,384
3,11,2,864,1049
3,11,3,2304,2890
3,12,1,768,768
3,12,2,1536,2011
3,13,1,1120,1360
4,1,1,1,1
4,1,2,1,1
4,1,3,2,2
4,1,4,4,4
4,1,5,12,12
4,1,6,33,33
4,1,7,66,66
4,1,8,162,198
4,1,9,486,594
4,1,10,972,1749
4,1,11,2916,4920
4,1,12,8019,13531
4,1,13,16767,37714
4,2,1,1,1
4,2,2,2,2
4,2,3,3,3
4,2,4,8,8
4,2,5,22,22
4,2,6,51,51
4,2,7,114,132
4,2,8,324,396
4,2,9,729,1188
4,2,10,1944,3371
4,2,11,5589,9450
4,2,12,16038,27356
4,3,1,2,2
4,3,2,3,3
4,3,3,6,6
4,3,4,15,15
4,3,5,36,36
4,3,6,92,96
4,3,7,216,264
4,3,8,528,792
4,3,9,1296,2376
4,3,10,3726,6581
4,3,11,10692,18039
4,4,1,2,2
4,4,2,6,6
4,4,3,11,11
4,4,4,28,28
4,4,5,62,64
4,4,6,158,192
4,4,7,408,528
4,4,8,1056,1584
4,4,9,2484,4590
4,4,10,7128,13122
4,5,1,4,4
4,5,2,8,8
4,5,3,20,20
4,5,4,50,50
4,5,5,114,128
4,5,6,288,384
4,5,7,762,1056
4,5,8,1896,3168
4,5,9,4752,9180
4,6,1,8,8
4,6,2,16,16
4,6,3,34,34
4,6,4,96,96
4,6,5,216,256
4,6,6,576,768
4,6,7,1512,2112
4,6,8,3660,6336
4,7,1,16,16
4,7,2,26,26
4,7,3,64,68
4,7,4,192,192
4,7,5,408,512
4,7,6,1152,1536
4,7,7,3024,4224
4,8,1,20,20
4,8,2,50,50
4,8,3,128,136
4,8,4,384,384
4,8,5,768,1024
4,8,6,2304,3027
4,9,1,40,40
4,9,2,96,100
4,9,3,256,272
4,9,4,548,768
4,9,5,1536,2048
4,10,1,72,72
4,10,2,192,200
4,10,3,420,544
4,10,4,1050,1480
4,11,1,144,144
4,11,2,384,384
4,11,3,784,1032
4,12,1,256,256
4,12,2,768,768
4,13,1,512,512
5,1,1,1,1
5,1,2,1,1
5,1,3,1,1
5,1,4,2,2
5,1,5,3,3
5,1,6,8,8
5,1,7,18,18
5,1,8,54,54
5,1,9,162,162
5,1,10,486,486
5,1,11,729,1138
5,1,12,1458,2927
5,1,13,4374,7598
5,2,1,1,1
5,2,2,1,1
5,2,3,2,2
5,2,4,3,3
5,2,5,6,6
5,2,6,15,15
5,2,7,36,36
5,2,8,108,108
5,2,9,324,324
5,2,10,729,849
5,2,11,972,2105
5,2,12,2916,5512
5,3,1,1,1
5,3,2,2,2
5,3,3,3,3
5,3,4,6,6
5,3,5,12,12
5,3,6,24,27
5,3,7,72,72
5,3,8,216,216
5,3,9,486,601
5,3,10,729,1519
5,3,11,1944,3964
5,4,1,2,2
5,4,2,2,2
5,4,3,4,4
5,4,4,9,9
5,4,5,18,18
5,4,6,48,54
5,4,7,144,144
5,4,8,324,420
5,4,9,729,1099
5,4,10,1458,2801
5,5,1,2,2
5,5,2,4,4
5,5,3,6,6
5,5,4,14,14
5,5,5,33,36
5,5,6,96,108
5,5,7,216,288
5,5,8,486,791
5,5,9,1458,2000
5,6,1,3,3
5,6,2,6,6
5,6,3,12,12
5,6,4,28,28
5,6,5,66,72
5,6,6,144,216
5,6,7,378,563
5,6,8,972,1437
5,7,1,4,4
5,7,2,9,9
5,7,3,20,24
5,7,4,44,56
5,7,5,99,144
5,7,6,255,407
5,7,7,648,1047
5,8,1,7,7
5,8,2,16,16
5,8,3,34,44
5,8,4,84,112
5,8,5,180,288
5,8,6,453,755
