S_melt_curve_solid,P_melt_curve_solid,S_melt_curve_liquid,P_melt_curve_liquid
0.0015022,834640.0,0.0015725,834640.0
0.0015290999999999998,626460.0,0.0015975,626460.0
0.0015531,479110.0,0.0016198,479110.0
0.0015746,372300.0,0.0016399000000000001,372300.0
0.0015941,293300.0,0.0016582,293300.0
0.0016118,233830.0,0.0016747,233830.0
0.0016279,188390.0,0.0016898,188390.0
0.0016426,153210.0,0.0017037,153210.0
0.0016561,125640.0,0.0017164,125640.0
0.0016685,103820.0,0.0017281,103820.0
0.0016799,86369.0,0.0017389,86369.0
0.0016904,72301.0,0.0017489,72301.0
0.0017001,60869.0,0.0017580999999999999,60869.0
0.0017090999999999999,51513.0,0.0017666,51513.0
0.0017173,43805.0,0.0017745,43805.0
0.001725,37416.0,0.0017818,37416.0
0.0017320999999999999,32091.0,0.0017887,32091.0
0.0017387000000000001,27629.0,0.001795,27629.0
0.0017447,23873.0,0.0018009,23873.0
0.0017504,20696.0,0.0018063,20696.0
0.0017556,17998.0,0.0018114000000000001,17998.0
0.0017604,15697.0,0.0018162,15697.0
0.0017649,13728.0,0.0018206,13728.0
0.001769,12038.0,0.0018246,12038.0
0.0017728,10581.0,0.0018284,10581.0
0.0017764,9321.3,0.001832,9321.3
0.0017795999999999999,8229.7,0.0018353,8229.7
0.0017825999999999999,7280.9,0.0018383,7280.9
0.0017854000000000001,6454.0,0.0018410999999999998,6454.0
0.0017879,5731.6,0.0018437,5731.6
0.0017902,5098.9,0.0018462,5098.9
0.0017923,4543.7,0.0018484,4543.7
0.0017942000000000001,4055.3,0.0018504,4055.3
0.0017959,3624.8,0.0018522999999999999,3624.8
0.0017974,3244.8,0.0018540999999999998,3244.8
0.0017988,2908.5,0.0018557,2908.5
0.0018,2610.5,0.0018571,2610.5
0.0018011,2346.0,0.0018584,2346.0
0.001802,2110.9,0.0018595999999999999,2110.9
0.0018028,1901.4,0.0018607,1901.4
0.0018035,1714.7,0.0018617,1714.7
0.001804,1547.9,0.0018625,1547.9
0.0018044,1398.8,0.0018633,1398.8
0.0018047,1265.3,0.0018639000000000001,1265.3
0.0018047999999999999,1145.6,0.0018645,1145.6
0.0018049000000000001,1038.2,0.0018649,1038.2
0.0018049000000000001,941.65,0.0018652999999999999,941.65
0.0018047,854.82,0.0018655999999999998,854.82
0.0018045,776.62,0.0018658,776.62
0.0018040999999999999,706.14,0.001866,706.14
0.0018037,642.53,0.001866,642.53
0.0018032,585.09,0.001866,585.09
0.0018026,533.16,0.001866,533.16
0.0018019000000000002,486.17,0.0018658,486.17
0.0018011,443.62,0.0018655999999999998,443.62
0.0018002,405.05,0.0018654000000000001,405.05
0.0017992000000000001,370.05,0.001865,370.05
0.0017982,338.28,0.0018646,338.28
0.001797,309.42,0.0018642,309.42
0.0017958,283.17,0.0018637,283.17
0.0017945,259.27,0.0018631,259.27
0.0017931,237.51,0.0018625,237.51
0.0017917,217.68,0.0018619,217.68
0.0017901,199.59,0.0018612000000000001,199.59
0.0017885,183.07,0.0018604000000000001,183.07
0.0017867999999999998,167.98,0.0018595999999999999,167.98
0.001785,154.18,0.0018587999999999999,154.18
0.0017831,141.56,0.0018579,141.56
0.0017812000000000001,129.99,0.001857,129.99
0.0017790999999999998,119.39,0.001856,119.39
0.001777,109.67,0.001855,109.67
0.0017748,100.75,0.001854,100.75
0.0017725,92.543,0.0018529,92.543
0.0017701,84.999,0.0018518,84.999
0.0017675999999999998,78.053,0.0018506,78.053
0.001765,71.652,0.0018494000000000002,71.652
0.0017624000000000001,65.746,0.0018482000000000001,65.746
0.0017595999999999998,60.293,0.001847,60.293
0.0017568,55.251,0.0018457,55.251
0.0017539,50.585,0.0018444000000000002,50.585
0.0017508,46.26,0.001843,46.26
0.0017477,42.248,0.0018417000000000002,42.248
0.0017445,38.52,0.0018403,38.52
0.0017412,35.052,0.0018388,35.052
0.0017377999999999998,31.82,0.0018374,31.82
0.0017343,28.805,0.0018359000000000001,28.805
0.0017307,25.988,0.0018344000000000001,25.988
0.001727,23.351,0.0018327999999999999,23.351
0.0017232999999999999,20.878,0.0018312,20.878
0.0017195,18.552,0.0018295,18.552
0.0017155999999999999,16.356,0.0018277,16.356
0.0017116,14.28,0.0018259,14.28
0.0017075,12.317,0.001824,12.317
0.0017033,10.461,0.001822,10.461
0.001699,8.7059,0.00182,8.7059
0.0016945,7.0458,0.001818,7.0458
0.0016899,5.4758,0.0018158,5.4758
0.0016852,3.9908,0.0018135999999999998,3.9908
0.0016803,2.586,0.0018113,2.586
0.0016752,1.2572,0.0018089,1.2572
0.00167,2.2903e-10,0.0018065,2.2903e-10
0.001643,-5.069,0.0017940999999999999,-5.069
0.0016071,-9.4644,0.0017785,-9.4644
0.0015575,-13.187,0.0017602,-13.187
